Category	level	distribution_channel	period	dt	manufacturer	brand	BBSKU	NAMESKU	ean	segment	format	tar_rmce	vol	val	rcnt	qty	shvol	shval	shrcnt	shqty	dntot	dn	dnvol	dnval	dwqty	dwvaltot	shsvol	shsval	avp	avpjm	avtvol	avtval	avtqty	avsvol	avsval	avsrcnt	avsqty	avgsku
summer	3	Online	7	04/10/2025	Torres Group	agency	BB5383	Democrat	8848792069803	especially	conference	0.91	482.84	157.12	17	351	90.39	84.31	34	219	2181.93	33.39	47.5	32.1	56	515.55	41.89	47.0	72.31	81.47	361.9	589.71	394	50.84	12.28	85	237	184
as	2	Online	1	04/08/2025	Gonzalez-Horton	experience	BB0701	important	4510463681570	trial	picture	0.42	707.33	320.81	93	233	75.98	45.54	17	175	4866.88	436.96	101.72	100.69	383	982.36	26.67	67.67	43.95	2.77	400.98	23.17	336	48.23	69.49	85	495	763
night	5	Wholesale	8	04/08/2025	Lopez PLC	lot	BB8003	win	8457620555434	more	fact	0.62	974.18	367.12	87	494	69.34	40.1	20	45	1500.36	16.8	64.84	17.78	497	196.34	3.65	48.63	15.37	24.94	843.67	859.61	276	19.9	30.79	60	76	486
task	4	Retail	2	04/08/2025	Garrett Group	voice	BB0843	civil	5621689363924	last	forget	0.9	741.39	450.81	63	242	2.94	45.5	16	104	2179.33	416.43	201.95	173.59	53	634.11	71.6	97.97	85.01	73.97	599.88	558.76	149	4.66	40.57	66	303	743
where	5	Wholesale	8	04/07/2025	Murphy, Daniels and Clark	certainly	BB9832	for	8262925188122	friend	those	0.71	533.03	427.78	41	284	7.29	89.39	27	456	2893.35	252.45	470.09	179.91	358	441.87	16.97	72.89	47.45	44.37	512.56	591.78	351	34.58	60.61	92	337	480
until	2	Online	12	04/08/2025	Acosta LLC	up	BB6647	skill	4231220994992	position	during	0.96	834.75	676.38	95	185	79.8	80.18	11	319	1828.83	348.44	52.23	246.62	89	207.49	60.97	10.99	42.18	99.38	310.62	217.34	25	99.93	36.52	34	183	694
pick	2	Retail	9	04/09/2025	Hall Inc	her	BB1728	throughout	9752677223305	issue	south	0.81	344.36	122.83	30	62	56.64	49.15	22	402	2420.96	32.87	440.08	141.07	78	854.87	87.5	60.82	11.31	5.99	946.81	801.0	493	84.32	11.98	14	401	626
administration	5	Retail	9	04/10/2025	Clements-Walker	remain	BB3312	within	7975736609656	indeed	population	0.51	175.38	126.88	27	467	36.8	73.11	46	227	4047.86	254.21	436.54	85.6	187	341.26	14.64	85.01	44.47	42.16	771.34	252.86	415	47.89	29.39	22	44	273
wrong	3	Wholesale	7	04/10/2025	Armstrong, Herrera and Davidson	sea	BB0817	loss	388608680344	less	information	0.63	253.0	755.67	68	216	78.93	14.66	28	212	4672.08	450.05	476.4	262.92	350	368.16	3.95	15.41	1.98	80.82	944.21	93.93	162	40.76	77.46	56	32	403
usually	1	Wholesale	11	04/09/2025	Ayala-Mitchell	compare	BB6490	road	8277181298263	job	game	0.9	67.23	635.29	92	410	66.38	52.46	19	215	2608.01	343.63	281.27	159.12	381	320.56	35.07	82.87	90.12	61.43	155.39	409.9	330	21.31	54.9	80	334	453
little	3	Wholesale	7	04/07/2025	White PLC	watch	BB3714	game	2111751868929	human	oil	0.88	93.44	542.06	50	372	72.17	88.11	34	277	2135.71	55.48	280.38	265.45	388	639.33	3.32	89.14	54.45	26.61	833.91	310.9	217	98.71	11.93	8	431	382
husband	3	Wholesale	9	04/09/2025	Tate LLC	others	BB2222	specific	644742123094	southern	environment	0.12	758.99	941.93	58	153	57.67	1.52	22	121	4221.55	494.61	287.14	448.23	322	668.87	84.61	24.15	30.62	67.03	816.93	577.04	72	71.72	52.45	32	54	336
actually	5	Wholesale	4	04/09/2025	Jimenez-Jimenez	surface	BB0973	director	9776719903840	president	production	0.45	155.09	431.44	53	42	10.13	43.06	9	244	1859.14	48.26	341.64	207.35	287	523.76	40.08	27.11	50.38	42.92	445.68	931.73	251	73.44	42.28	21	74	518
onto	2	Online	12	04/07/2025	Williams and Sons	around	BB5020	region	9945101622496	recent	role	0.13	707.48	864.64	16	356	22.05	47.86	48	81	4776.28	190.97	476.39	304.78	210	119.23	37.59	29.67	52.75	12.66	311.88	380.72	151	49.11	79.33	19	402	604
scene	4	Retail	5	04/08/2025	Armstrong, Hart and Burch	so	BB9501	special	4556168147218	run	trade	0.22	820.93	493.91	16	281	35.52	87.17	27	247	3292.24	287.22	451.14	392.86	244	836.12	83.53	14.15	14.71	64.01	764.06	670.55	77	86.77	33.2	80	341	639
face	4	Online	4	04/08/2025	Rose-Warren	safe	BB3901	owner	8179469548995	health	within	0.34	55.36	673.74	57	377	28.46	9.76	11	363	1099.22	318.75	388.08	161.34	331	132.54	56.38	20.05	62.25	58.11	62.35	574.54	97	75.31	50.76	3	62	675
carry	5	Retail	1	04/08/2025	Hart, Stone and Welch	mind	BB2934	daughter	107139660553	opportunity	sure	0.79	252.83	708.56	75	228	9.38	53.82	21	206	3355.57	250.82	467.59	176.58	93	420.79	86.11	32.42	26.46	12.35	108.34	176.47	74	19.08	77.06	20	158	976
public	4	Wholesale	3	04/10/2025	Smith and Sons	road	BB4414	first	8850155699022	daughter	give	0.61	332.04	36.9	8	153	39.6	32.68	27	458	2296.87	194.0	415.59	69.27	104	247.23	60.1	24.41	51.35	50.94	949.86	276.59	163	47.02	41.3	62	15	418
these	2	Retail	5	04/07/2025	Nielsen-Mendoza	matter	BB0272	product	7857608495881	after	detail	0.96	678.35	253.85	72	334	78.74	31.16	27	229	1335.63	321.54	109.69	484.28	192	545.04	17.65	25.27	95.31	96.17	559.6	51.37	417	47.0	83.11	38	335	996
participant	2	Retail	1	04/10/2025	Rivera, Hendricks and Flynn	attorney	BB2405	how	8299629145045	job	before	0.27	258.38	683.2	45	432	63.59	58.93	33	145	1181.94	372.2	285.91	157.31	203	701.45	83.22	72.78	99.88	87.95	218.74	509.77	411	32.51	68.53	44	326	268
model	4	Online	4	04/09/2025	Watson LLC	direction	BB8421	house	317807823573	significant	TV	0.34	465.2	603.52	3	468	69.49	65.0	1	312	2906.12	451.71	339.63	212.45	459	699.53	49.41	39.89	9.03	87.8	654.75	543.26	457	83.38	67.49	87	64	362
need	4	Wholesale	6	04/10/2025	Rowe-Thomas	try	BB1823	shake	768104091576	visit	any	0.18	770.29	700.06	2	64	46.81	93.69	29	5	1886.08	19.69	147.76	461.49	184	199.6	81.81	62.9	81.03	22.89	980.32	967.62	19	28.79	90.55	91	311	215
board	1	Retail	11	04/09/2025	Miranda, Reese and Johnson	son	BB4353	data	4485714224106	prevent	opportunity	0.11	284.57	505.32	22	283	20.18	74.14	44	350	3411.89	96.01	298.2	375.53	66	267.03	57.42	23.57	52.78	78.44	199.93	681.2	497	69.61	53.76	33	349	574
my	4	Retail	7	04/10/2025	Clark LLC	often	BB5424	painting	3214958702078	weight	Republican	0.85	329.77	845.9	53	141	13.05	52.31	32	186	3069.03	31.3	363.4	33.01	471	425.86	45.44	1.51	20.27	9.1	576.1	35.12	378	23.34	69.27	10	470	256
apply	2	Retail	6	04/07/2025	Reyes Inc	last	BB6299	professional	7954538179215	tax	suffer	0.06	629.04	37.59	56	414	3.38	79.92	22	431	2001.64	62.84	126.8	176.99	28	823.42	52.45	24.44	8.22	60.4	444.14	104.71	229	58.31	9.47	8	470	35
wide	4	Online	12	04/09/2025	Mcdonald, Bryant and Cohen	see	BB7733	charge	9456255770174	budget	have	0.78	71.38	804.36	8	155	61.46	43.75	7	347	1223.16	35.58	426.47	206.82	317	754.44	24.08	60.36	66.31	2.05	390.08	797.21	451	62.4	11.03	84	481	692
measure	1	Online	9	04/11/2025	Singleton-Campbell	happen	BB9928	board	6158148769632	pressure	either	0.59	116.93	22.17	92	35	59.7	84.24	37	65	3549.45	135.58	216.29	365.07	228	194.06	14.63	5.36	13.64	58.87	517.99	655.19	184	31.81	88.64	100	75	151
official	4	Online	10	04/07/2025	Dickson Group	attorney	BB5396	still	6958321971995	major	gas	0.29	970.57	522.5	85	348	15.32	24.5	36	440	1218.43	178.47	488.49	323.87	104	787.41	34.81	67.12	69.78	98.21	603.76	337.83	297	57.04	34.23	39	215	337
one	2	Retail	8	04/10/2025	Short and Sons	foot	BB6191	reveal	9657013290228	local	night	0.5	920.75	642.38	89	118	47.19	22.1	31	377	4073.39	409.18	405.56	194.2	205	192.4	99.0	36.92	8.3	3.97	124.04	297.67	100	63.5	91.36	47	23	999
film	1	Retail	4	04/11/2025	Gilbert-West	describe	BB5494	why	6519098624059	wear	often	0.17	886.53	721.65	44	434	55.9	18.68	2	91	4371.53	456.22	20.29	341.95	195	658.32	88.62	34.5	21.81	46.16	375.94	378.63	88	94.18	97.73	80	452	445
argue	1	Retail	3	04/09/2025	Warner LLC	break	BB4036	scientist	9656666832724	cup	one	0.79	199.76	384.41	48	163	60.36	97.72	16	472	1184.78	311.85	102.66	272.38	405	157.08	25.47	63.32	28.73	13.52	513.19	588.24	251	21.71	9.06	61	405	680
if	5	Retail	3	04/09/2025	Larsen-Moore	turn	BB2201	raise	276212679697	couple	look	0.39	883.6	753.62	48	256	52.37	18.72	46	192	3101.9	246.82	478.32	242.14	298	406.94	92.2	58.81	4.62	22.73	210.97	864.54	203	22.64	43.08	49	293	161
Mr	3	Online	9	04/08/2025	Arnold-Cole	hear	BB3269	account	9738468950094	meeting	sea	0.13	93.19	450.06	46	118	58.81	47.06	40	173	2704.41	239.1	210.39	404.21	163	280.29	3.45	44.73	27.3	8.51	902.46	301.57	257	51.77	64.72	36	475	234
home	1	Retail	2	04/08/2025	Carpenter Ltd	base	BB2847	nation	1891371894904	well	gun	0.04	208.3	204.68	43	129	30.97	81.74	44	433	2097.86	355.76	499.02	499.22	386	719.02	54.77	26.85	77.24	28.9	353.17	996.87	485	41.17	58.42	84	7	484
nor	5	Retail	7	04/09/2025	Harrison PLC	western	BB7956	head	4420949407924	page	approach	0.23	751.65	479.69	67	301	78.81	76.0	47	417	2845.6	398.04	163.41	102.04	395	942.51	42.35	44.43	85.44	3.98	147.56	875.01	157	94.39	1.96	85	428	364
realize	3	Retail	7	04/08/2025	Lamb-Weber	few	BB7128	ball	4429444019298	single	city	0.69	409.34	780.86	69	154	33.28	3.3	3	473	1556.54	488.85	497.19	288.41	410	606.97	61.18	86.83	98.04	21.22	396.73	539.15	97	48.0	33.56	58	328	917
reason	3	Retail	3	04/07/2025	Wood-Thompson	stay	BB3728	training	512927663720	develop	participant	0.67	185.86	828.21	78	251	3.66	20.7	25	146	1823.57	152.64	266.95	232.79	189	523.35	18.01	86.11	41.68	16.55	119.64	541.09	245	74.57	39.51	27	67	892
similar	2	Online	7	04/07/2025	Brown-Baker	ten	BB1027	inside	7478366742866	actually	fight	0.16	579.34	317.21	26	258	71.96	46.44	13	4	4964.34	228.41	414.05	306.38	127	530.6	91.12	88.04	46.56	58.04	739.92	295.03	452	91.97	35.33	92	406	305
within	4	Wholesale	3	04/08/2025	Reyes-Stewart	next	BB0185	three	6945441496736	similar	remember	0.25	900.96	735.91	59	197	91.17	19.16	37	49	2574.21	473.39	127.45	436.56	141	883.73	54.24	67.0	7.61	72.93	903.21	909.65	211	99.25	55.73	48	40	774
per	1	Wholesale	6	04/10/2025	Meyer Ltd	road	BB2580	remember	106181753442	data	along	0.45	260.24	511.0	60	14	8.25	69.75	48	237	2524.62	375.52	429.33	204.37	6	258.1	71.2	14.51	67.36	46.96	466.74	91.72	337	24.99	95.05	18	242	841
agent	3	Retail	3	04/11/2025	Davis, Mays and Douglas	thing	BB3911	before	9269212447176	win	factor	0.61	185.46	132.91	95	201	17.68	67.47	1	347	2093.01	225.92	97.19	360.06	458	678.29	22.4	69.98	83.81	81.34	644.6	719.25	460	11.18	69.34	57	27	613
specific	1	Retail	7	04/09/2025	Schwartz-Contreras	speech	BB5421	factor	665044271733	poor	increase	0.93	380.9	246.15	12	9	42.75	98.94	22	421	1768.61	337.79	118.08	442.32	409	837.03	66.75	72.68	5.36	51.74	817.47	329.45	321	19.77	21.5	70	203	962
could	4	Retail	4	04/07/2025	Vasquez, Thomas and Mack	discover	BB9174	board	119470720063	exactly	civil	0.11	330.13	24.84	84	162	2.19	22.06	15	34	3631.85	146.44	315.72	31.53	454	226.38	30.85	60.29	98.33	11.08	540.82	990.63	436	57.35	25.94	13	308	333
scene	4	Wholesale	12	04/07/2025	Conway-Andrews	myself	BB7766	three	1830671985547	institution	around	0.33	639.0	885.13	41	436	66.97	7.68	2	312	4648.41	229.97	260.4	373.49	258	591.59	98.85	24.03	62.02	89.78	315.76	740.53	388	25.11	8.86	18	192	511
project	3	Retail	3	04/10/2025	Davis, Nichols and Woodward	be	BB7432	once	634615717321	also	data	0.2	47.53	924.18	77	485	44.93	87.86	9	143	2270.15	395.62	29.41	397.97	213	651.57	29.56	3.35	84.85	33.8	249.83	543.92	465	91.85	98.85	88	357	737
ago	2	Wholesale	7	04/10/2025	Davies, Allen and Price	structure	BB8478	they	7005050613876	yard	resource	0.32	447.94	15.98	63	36	95.41	6.16	10	481	1816.88	54.96	300.39	417.3	478	212.33	51.24	43.2	47.24	17.25	205.56	429.78	311	25.65	29.25	58	496	651
truth	2	Online	8	04/10/2025	Hernandez, Riley and Buckley	although	BB2707	what	9032020417927	thing	perhaps	0.95	365.99	383.94	61	226	42.85	61.33	28	390	1623.51	477.34	246.18	383.35	219	855.5	76.13	92.23	59.92	16.13	729.38	264.72	238	31.28	29.04	72	311	493
attack	1	Online	3	04/10/2025	Wilson PLC	successful	BB9313	last	5651982530921	government	at	0.2	916.97	14.14	65	374	72.81	49.65	27	482	2578.6	373.68	198.18	160.83	302	80.52	88.61	99.25	13.32	93.28	170.74	765.32	491	26.27	91.4	93	179	522
camera	4	Wholesale	12	04/09/2025	Thomas-Perry	same	BB5827	either	9021962071007	country	with	0.7	654.4	927.25	95	127	24.99	4.42	24	324	3826.24	23.85	336.18	82.46	310	460.92	68.43	26.17	60.61	95.23	843.1	22.21	395	10.14	71.45	50	204	724
behind	5	Retail	9	04/11/2025	Pearson, Eaton and Butler	surface	BB7232	push	4876329092790	behavior	product	0.88	174.17	432.6	89	155	50.56	53.79	25	301	2231.92	211.69	439.44	366.55	46	118.18	57.69	79.96	81.61	27.63	217.43	750.81	358	31.5	98.72	63	1	100
the	1	Wholesale	7	04/09/2025	Bailey-Smith	eat	BB3181	present	5883734031275	modern	control	0.42	295.46	436.64	23	192	19.45	14.3	32	94	3010.46	64.02	287.88	114.16	103	68.39	19.09	76.16	26.68	90.33	414.7	630.57	320	11.81	64.01	11	151	88
collection	4	Retail	5	04/11/2025	Livingston, Brown and Diaz	determine	BB6459	support	7010822078111	want	easy	0.34	589.79	483.12	87	390	10.98	7.04	49	490	1028.91	295.4	493.93	57.45	268	793.87	38.19	52.49	96.24	27.32	491.07	759.34	310	43.52	37.71	44	162	837
set	2	Online	11	04/10/2025	Watkins-Nguyen	decide	BB5315	drive	1363631797060	check	direction	0.38	66.67	362.47	43	413	10.92	46.24	45	206	3900.88	445.11	78.04	304.94	445	535.32	95.16	75.39	25.61	45.74	689.32	871.15	264	41.9	19.61	82	491	965
without	3	Retail	11	04/07/2025	Gibson, Hughes and Taylor	service	BB3543	government	2090421776255	discussion	various	0.87	969.9	738.45	87	228	24.12	48.97	48	314	4175.84	180.68	470.15	471.32	244	987.0	85.85	90.62	73.69	30.09	203.13	151.73	267	87.75	78.7	92	259	33
find	2	Online	2	04/07/2025	Moore, Norton and Cisneros	western	BB2983	before	6873977406335	generation	leader	0.83	996.34	987.35	60	87	89.74	95.55	31	340	3162.67	129.24	93.51	472.66	359	98.54	44.05	71.86	16.86	92.97	903.62	768.65	113	72.2	66.93	86	64	682
particularly	2	Wholesale	11	04/07/2025	Snow PLC	young	BB2906	another	780686717736	because	open	0.09	694.87	873.22	74	393	92.46	7.4	22	194	4640.67	374.05	365.26	330.42	402	566.28	85.76	81.04	23.13	12.45	96.8	98.25	380	59.63	19.63	15	294	377
some	2	Online	7	04/09/2025	Steele Group	discover	BB2543	raise	1074279907727	two	score	0.74	317.69	594.16	25	434	39.43	42.95	50	187	4190.07	467.62	71.89	335.23	303	229.92	40.14	54.29	46.6	15.33	943.46	838.84	256	68.32	15.6	37	75	765
into	1	Wholesale	6	04/11/2025	Clarke LLC	produce	BB7016	walk	5804649893192	up	government	0.5	691.71	280.72	91	294	48.35	83.04	32	150	3816.56	194.59	490.76	173.24	424	719.6	84.96	93.51	23.28	73.84	923.93	778.28	439	49.26	39.79	85	468	869
simply	2	Retail	9	04/10/2025	Robertson Ltd	himself	BB0165	make	9055281832537	notice	build	0.34	681.12	990.41	97	201	39.72	53.26	19	145	3785.51	105.6	429.56	202.95	68	330.18	79.34	86.72	6.36	93.52	311.03	658.09	296	14.62	69.9	38	460	149
range	2	Retail	12	04/11/2025	Mclaughlin-Goodwin	try	BB3355	water	4864015577881	themselves	can	0.74	19.04	728.7	74	53	68.15	98.86	10	193	4801.59	219.28	422.41	463.73	50	362.03	47.91	94.56	12.62	52.03	345.1	439.48	77	63.07	41.0	5	61	247
many	4	Online	5	04/08/2025	Patel, Bryan and Lam	live	BB9513	wait	7116241124122	model	city	0.95	656.27	381.62	89	408	67.4	9.87	30	443	4272.78	197.23	319.84	228.11	6	128.8	9.18	49.43	67.21	51.47	32.8	577.25	294	48.47	69.68	13	407	608
two	2	Online	8	04/09/2025	Meyer Ltd	agency	BB4682	matter	5670431038566	particular	gun	0.3	133.98	331.98	92	466	86.36	54.21	26	417	3802.97	202.96	410.56	393.9	272	493.68	52.37	58.89	71.66	79.22	132.85	755.46	495	66.2	12.62	77	356	185
reality	1	Wholesale	8	04/08/2025	Buchanan, Tucker and Wade	next	BB8774	our	2424375402548	lose	compare	0.12	137.53	214.17	21	45	56.69	85.29	3	44	4919.71	258.01	188.14	276.77	217	977.33	66.16	25.59	5.57	94.63	905.57	300.46	274	45.05	58.13	89	161	536
present	3	Wholesale	9	04/09/2025	Joseph LLC	court	BB2223	but	592745238058	guy	choose	0.21	108.02	821.57	31	19	19.62	30.67	14	491	1536.83	280.51	299.97	145.92	374	626.09	8.36	26.24	38.8	90.46	406.06	92.42	131	67.98	94.08	19	275	209
hotel	1	Wholesale	12	04/07/2025	Fernandez-Martin	fish	BB1067	special	2752088547493	reflect	choice	1.0	699.83	200.7	48	289	66.07	82.23	39	84	2678.75	85.21	496.3	222.48	14	964.38	25.5	27.74	53.62	68.71	412.71	336.06	46	36.92	34.02	35	75	890
successful	2	Online	1	04/11/2025	Chandler, Nielsen and Morgan	budget	BB7028	but	4069375150938	past	new	0.38	969.09	384.85	14	401	92.64	18.4	47	449	2226.2	412.46	249.91	269.19	359	576.44	28.92	27.83	10.81	5.75	324.82	754.35	93	35.17	74.39	69	283	609
doctor	4	Online	10	04/08/2025	Gonzalez-Miller	time	BB7186	day	7599805626568	hotel	actually	0.26	689.79	716.09	85	65	15.12	57.19	18	28	4673.77	323.2	191.37	390.99	348	612.62	70.97	19.13	98.64	80.05	507.21	283.06	220	52.54	72.13	30	157	651
feel	1	Online	7	04/07/2025	Bell-Madden	two	BB8137	site	6742662991237	floor	may	0.85	638.33	85.93	31	484	10.27	57.96	6	381	2143.4	465.5	406.09	15.24	486	429.74	51.36	73.35	48.49	51.99	997.97	889.2	358	13.34	2.38	25	467	852
trip	1	Wholesale	7	04/07/2025	Hatfield, Jones and Choi	something	BB6106	purpose	4628792326489	military	and	0.75	251.78	741.59	68	351	61.31	61.13	11	346	4720.74	384.22	452.86	95.66	188	841.01	51.85	95.3	42.85	38.53	379.55	122.1	468	68.23	83.34	99	440	121
test	3	Online	8	04/11/2025	Davenport-Torres	operation	BB7300	class	4471462730143	mind	audience	0.26	12.21	634.86	51	112	92.38	92.98	42	264	4302.91	27.36	236.9	312.7	250	66.92	1.58	46.58	30.54	11.61	356.22	725.21	206	36.1	11.03	63	102	87
place	5	Wholesale	3	04/10/2025	Cox, Castillo and Graham	evening	BB7158	significant	9042902572521	argue	explain	0.12	492.54	164.07	85	129	23.38	40.14	20	187	2713.37	99.27	407.66	63.26	225	659.72	44.5	14.85	74.96	1.58	884.74	712.13	57	19.77	4.99	51	216	762
herself	3	Retail	3	04/08/2025	Fields-Friedman	anything	BB4481	my	3219285544513	nor	particularly	0.95	960.1	983.1	16	216	49.42	50.06	44	366	1509.74	378.03	392.37	205.94	372	924.33	84.46	39.5	11.86	11.68	30.94	163.99	257	2.35	68.76	7	348	850
he	3	Online	10	04/09/2025	Smith PLC	father	BB5765	will	2132833898887	scientist	something	0.43	296.57	491.07	98	220	25.53	16.1	33	96	1997.87	385.7	433.44	497.19	127	669.67	43.49	47.92	78.49	11.2	733.15	614.99	97	99.26	59.53	82	77	235
suffer	1	Retail	7	04/09/2025	Butler Inc	but	BB2075	forget	5279852401326	tough	rule	0.27	200.26	154.75	3	316	20.76	86.57	25	209	3099.88	353.08	490.26	118.67	219	484.4	51.48	64.74	31.12	27.66	287.75	357.51	215	25.45	89.62	24	21	1
change	1	Wholesale	12	04/09/2025	Perez, Martinez and Anderson	bar	BB6110	stage	7603108907146	animal	attorney	0.21	477.34	909.4	13	221	19.3	94.88	24	172	2217.43	57.47	16.69	280.37	442	139.01	36.7	81.19	74.55	59.3	608.67	245.87	142	21.79	39.02	14	67	645
fish	5	Retail	1	04/10/2025	Smith, Davis and Martinez	play	BB3932	religious	5012495528933	mouth	over	0.97	885.2	819.24	25	361	45.13	10.77	35	317	2371.59	365.42	494.93	108.98	370	162.14	13.66	42.4	71.45	89.27	761.76	847.63	287	97.54	89.6	58	323	735
author	1	Online	2	04/11/2025	Weiss Inc	newspaper	BB3342	week	8013875927121	they	hear	0.42	932.02	508.83	3	86	60.32	69.97	9	149	1181.78	287.43	399.25	349.96	380	816.39	50.01	53.71	51.84	8.42	443.37	514.19	288	78.16	40.68	35	106	189
hundred	1	Retail	10	04/09/2025	Lewis-Perez	budget	BB5171	nature	2754801571648	loss	plan	0.59	18.77	929.34	66	234	50.88	72.34	17	156	4409.9	155.22	141.57	68.36	115	55.16	24.58	4.87	15.67	88.48	927.98	277.73	405	6.1	98.02	27	274	119
simply	1	Wholesale	6	04/08/2025	Mcdaniel-Randall	draw	BB8646	current	1752071678112	character	indicate	0.97	331.32	946.96	71	136	72.49	41.43	40	151	2298.54	38.06	409.8	413.73	113	733.17	28.69	26.34	2.55	66.07	869.3	939.63	299	11.54	74.83	49	485	670
institution	3	Wholesale	11	04/07/2025	Garza, Garcia and Schaefer	concern	BB1535	deep	9613674994653	maybe	reflect	0.55	818.68	228.43	35	105	58.58	80.97	49	203	1622.57	123.54	365.88	190.63	462	484.22	50.1	46.48	81.74	18.43	573.96	943.92	93	65.11	3.08	21	454	182
player	4	Wholesale	10	04/10/2025	Archer-Dixon	choice	BB7114	might	7320101702690	respond	general	0.07	81.33	252.8	83	497	40.85	72.71	9	373	4001.78	15.78	58.87	198.16	57	828.3	76.58	64.8	5.33	25.59	92.76	151.21	322	60.36	79.45	2	491	811
claim	1	Wholesale	12	04/10/2025	Howell-Davis	ball	BB8773	finally	7784858800618	identify	listen	0.85	94.12	147.84	98	289	89.35	81.73	20	170	2915.63	129.47	276.33	141.05	279	131.84	82.67	11.18	30.38	51.64	838.12	150.42	468	23.21	23.44	50	76	362
forward	3	Retail	11	04/11/2025	Ramos-Johnson	cost	BB8427	lawyer	2467197889777	or	too	0.69	717.7	902.6	63	87	99.09	23.23	19	183	1305.16	173.53	186.64	463.1	44	896.63	60.85	18.63	53.52	60.36	682.64	158.72	342	69.03	62.85	37	179	897
close	1	Online	8	04/11/2025	Brown, Baker and Garza	huge	BB9545	ask	902559056166	hair	heavy	0.93	812.61	714.19	10	404	1.22	93.38	10	399	3623.42	166.93	201.39	363.46	403	976.58	81.65	12.2	43.32	72.94	153.22	329.82	66	19.01	39.12	41	254	435
its	4	Wholesale	7	04/08/2025	Brown-Sanchez	easy	BB4911	trouble	4152085076985	week	know	0.79	340.13	804.12	84	472	25.34	42.45	32	276	3135.08	270.91	412.49	198.47	298	717.77	53.17	77.88	81.32	22.71	96.38	368.09	105	99.4	2.7	72	243	981
example	2	Retail	1	04/10/2025	Dominguez PLC	age	BB5696	future	9171357852947	himself	least	0.36	850.84	780.86	18	151	46.58	83.69	36	498	4725.37	216.33	113.26	120.05	383	146.42	96.24	70.69	38.37	3.61	965.26	377.97	360	11.49	58.58	62	429	609
defense	2	Retail	3	04/09/2025	Reid-Dickson	bag	BB8344	anyone	4963919195419	our	suddenly	0.14	252.6	22.35	54	77	76.78	47.51	9	384	3109.8	474.9	240.39	364.05	228	783.58	69.83	29.39	16.43	88.23	41.8	753.62	258	16.87	40.24	55	349	971
nice	4	Wholesale	12	04/11/2025	Simmons-Reed	ball	BB4846	record	8536649878202	product	score	0.92	506.85	712.26	55	477	16.52	97.34	34	194	4911.71	71.32	113.81	313.33	113	398.37	82.43	97.62	60.9	8.64	695.5	482.64	335	64.55	82.9	22	28	823
name	3	Wholesale	7	04/11/2025	Ray and Sons	recent	BB7489	tonight	6908357232461	item	from	0.27	113.36	369.07	100	434	34.21	24.71	11	278	1425.86	113.84	15.38	455.75	97	556.17	64.2	4.2	27.65	97.69	569.15	568.1	405	48.9	5.76	12	484	317
trade	1	Online	5	04/11/2025	Walters Group	example	BB4249	eat	6312303477866	knowledge	radio	0.5	321.33	396.73	46	499	13.82	67.79	22	209	4586.04	256.75	256.07	389.78	13	591.3	38.83	59.05	85.35	29.72	160.02	468.48	454	62.97	95.33	30	453	221
western	2	Wholesale	3	04/09/2025	Harris LLC	century	BB0448	control	700159416515	industry	yes	0.52	731.43	654.88	99	175	45.3	13.99	19	185	3493.88	470.67	29.61	359.25	350	393.76	21.67	61.43	8.42	16.09	631.51	502.55	413	2.48	76.87	40	281	889
those	1	Online	2	04/07/2025	Cameron, Young and Duncan	month	BB1898	enter	7139155963632	charge	both	0.31	934.72	169.86	36	296	36.97	9.83	12	364	4087.76	136.39	241.9	135.45	449	447.62	92.49	94.04	97.2	49.34	369.84	293.76	210	85.84	91.8	17	226	376
continue	5	Wholesale	6	04/10/2025	Booker Group	issue	BB4907	none	5158673425752	term	foot	0.08	419.06	455.59	88	22	62.44	64.74	48	405	1979.27	412.41	13.89	428.0	149	382.06	57.44	85.53	23.08	87.54	672.46	355.45	240	64.61	90.11	60	56	88
against	2	Wholesale	2	04/07/2025	Rasmussen, Obrien and Skinner	recognize	BB0348	if	4518376064411	would	test	0.77	207.48	335.43	41	176	99.65	49.14	45	380	2904.88	146.4	28.76	86.31	241	154.06	22.13	57.25	98.79	77.65	71.78	810.45	405	43.58	47.87	7	109	889
something	1	Wholesale	7	04/08/2025	Evans and Sons	whole	BB7560	eye	1776561248159	kitchen	play	0.25	184.34	150.32	36	208	9.09	87.5	29	447	2678.89	114.91	447.61	100.2	28	101.52	90.26	34.86	75.56	17.29	355.78	424.91	244	54.02	78.6	90	224	364
shoulder	5	Online	1	04/10/2025	Rojas, Chavez and Johnson	area	BB2720	institution	3459112382967	structure	wrong	0.78	601.16	87.03	86	297	62.03	33.05	47	381	4300.94	369.23	16.95	449.29	479	156.01	86.57	12.25	97.03	41.23	525.48	13.64	231	94.39	85.87	82	231	655
front	5	Retail	1	04/08/2025	Mendoza-Moss	ever	BB2954	decide	1652669300893	produce	drop	0.75	195.78	699.48	100	86	60.49	22.4	14	488	1764.64	343.02	478.0	191.43	187	26.03	89.77	50.71	86.91	70.23	652.42	461.44	211	35.82	82.99	55	268	998
what	3	Retail	3	04/07/2025	Mccann and Sons	everybody	BB2069	laugh	9421529108670	their	report	0.43	185.13	598.94	70	224	38.77	84.66	45	349	2749.97	148.79	313.98	463.32	439	108.23	9.67	83.89	9.87	2.63	933.17	112.64	384	75.42	92.8	13	325	455
